customer_id,age,location,signup_date,total_orders,total_spend,last_purchase_days
CUST0112,42,Chennai,2025-05-14,7,45742.58,87
CUST0113,42,Pune,2026-01-25,25,95144.81,108
CUST0114,23,Noida,2025-05-10,1,75027.91,14
CUST0115,40,Hyderabad,2026-05-03,21,7327.53,167
CUST0116,19,Hyderabad,2025-01-21,7,84003.27,160
CUST0117,33,Bangalore,2025-03-20,16,67111.16,145
CUST0118,31,Noida,2026-05-01,23,25996.25,95
CUST0119,25,Bangalore,2025-03-27,10,11255.83,7
CUST0120,37,Kolkata,2026-04-21,13,94176.32,51
CUST0121,55,Hyderabad,2025-02-08,4,69870.7,78
CUST0122,25,Delhi,2026-03-12,12,53508.15,170
CUST0123,22,Chennai,2025-07-09,1,85032.77,126
CUST0124,45,Chennai,2025-02-24,21,89211.71,118
CUST0125,27,Kolkata,2025-12-29,6,73512.63,167
CUST0126,52,Noida,2025-05-19,15,43839.66,152
CUST0127,38,Hyderabad,2025-05-18,27,93494.88,72
CUST0128,46,Hyderabad,2026-03-28,25,46738.49,157
CUST0129,42,Chennai,2025-12-09,1,49683.5,84
CUST0130,49,Hyderabad,2025-04-04,12,79884.32,88
CUST0131,35,Delhi,2025-05-24,17,94832.23,22
CUST0132,44,Noida,2025-05-04,18,75937.38,177
CUST0133,49,Noida,2025-09-01,26,2215.7,76
CUST0134,43,Hyderabad,2025-04-24,10,66564.02,95
CUST0135,53,Chennai,2025-08-31,14,99664.83,141
CUST0136,40,Noida,2025-06-19,9,31008.99,60
CUST0137,30,Chennai,2025-03-03,4,74416.67,177
CUST0138,30,Hyderabad,2025-04-05,24,48677.76,151
CUST0139,51,Pune,2026-05-16,4,83346.52,76
CUST0140,41,Bangalore,2025-04-27,10,1907.76,137
CUST0141,35,Delhi,2025-03-06,2,55559.22,179
CUST0142,26,Noida,2026-04-29,4,87335.61,147
CUST0143,48,Noida,2025-05-26,15,34400.24,14
CUST0144,48,Mumbai,2025-05-10,27,7001.67,126
CUST0145,54,Delhi,2025-02-07,5,15345.16,145
CUST0146,37,Mumbai,2026-05-01,8,12285.93,107
CUST0147,32,Kolkata,2025-11-07,15,90896.19,77
CUST0148,55,Kolkata,2026-03-17,10,57078.63,16
CUST0149,24,Hyderabad,2025-11-09,21,21497.01,170
CUST0150,28,Hyderabad,2025-02-11,6,55423.23,41
CUST0151,44,Noida,2025-01-02,23,59584.21,75
CUST0152,32,Pune,2025-01-17,23,28630.48,117
CUST0153,32,Pune,2025-02-06,26,79229.15,151
CUST0154,30,Kolkata,2025-12-05,4,54683.96,166
CUST0155,35,Bangalore,2025-03-18,3,6433.98,79
CUST0156,54,Pune,2025-11-01,15,12873.19,177
CUST0157,43,Pune,2025-06-05,17,54228.17,113
CUST0158,20,Kolkata,2025-02-11,24,32571.0,65
CUST0159,23,Hyderabad,2025-01-14,22,83677.88,148
CUST0160,19,Pune,2025-10-28,19,4503.05,45
CUST0161,51,Noida,2025-08-29,30,28176.58,150
CUST0162,49,Mumbai,2025-08-12,16,35122.13,86
CUST0163,24,Bangalore,2025-06-14,11,41458.69,127
CUST0164,43,Delhi,2025-05-28,15,9261.95,65
CUST0165,25,Kolkata,2025-06-15,28,51702.33,1
CUST0166,52,Noida,2025-12-03,14,5893.31,133
CUST0167,49,Noida,2025-07-05,25,5635.37,69
CUST0168,26,Pune,2025-10-09,15,88144.24,125
CUST0169,19,Hyderabad,2025-03-04,23,16258.63,142
CUST0170,53,Kolkata,2025-01-08,3,22857.72,30
CUST0171,25,Bangalore,2025-08-25,16,93298.98,75
CUST0172,35,Kolkata,2025-09-18,27,48508.71,121
CUST0173,47,Bangalore,2025-05-05,13,19465.73,154
CUST0174,26,Mumbai,2025-09-18,9,77381.18,107
CUST0175,50,Pune,2025-06-24,27,755.24,77
CUST0176,55,Noida,2026-03-05,28,15285.24,138
CUST0177,40,Chennai,2025-09-05,18,76405.83,97
CUST0178,38,Hyderabad,2025-08-22,23,24261.15,99
CUST0179,44,Delhi,2025-04-30,11,74598.16,98
CUST0180,27,Noida,2025-07-17,2,13061.5,152
CUST0181,24,Noida,2025-06-19,4,52832.13,117
CUST0182,27,Kolkata,2025-01-08,28,65650.74,40
CUST0183,48,Pune,2025-02-08,11,62514.31,102
CUST0184,23,Chennai,2025-11-29,28,67598.57,137
CUST0185,38,Noida,2025-07-14,28,54331.09,159
CUST0186,33,Pune,2025-02-05,8,74803.25,112
CUST0187,24,Mumbai,2026-05-16,15,17053.3,77
CUST0188,19,Delhi,2026-04-08,11,79716.27,76
CUST0189,41,Kolkata,2025-07-03,5,24797.64,106
CUST0190,29,Bangalore,2025-10-17,6,8357.35,98
CUST0191,33,Noida,2025-11-14,30,58524.13,60
CUST0192,34,Noida,2025-08-25,9,66850.65,120
CUST0193,36,Bangalore,2026-04-07,3,44452.11,89
CUST0194,37,Kolkata,2025-10-28,23,25384.77,78
CUST0195,42,Noida,2025-04-12,4,24101.97,147
CUST0196,54,Pune,2025-07-03,23,29875.46,169
CUST0197,35,Delhi,2025-07-22,19,86574.21,13
CUST0198,49,Pune,2026-04-12,25,79986.58,156
CUST0199,40,Hyderabad,2026-02-15,21,19418.13,65
CUST0200,26,Mumbai,2025-12-14,29,62932.08,11
CUST0201,46,Delhi,2025-06-08,19,36803.69,34
CUST0202,36,Chennai,2025-02-16,24,41842.56,52
CUST0203,52,Chennai,2025-03-09,17,50428.58,70
CUST0204,28,Pune,2026-03-02,30,82556.64,124
CUST0205,36,Chennai,2026-05-11,26,11959.39,20
CUST0206,32,Kolkata,2025-03-14,28,80556.47,94
CUST0207,43,Delhi,2025-02-16,9,53888.94,117
CUST0208,34,Kolkata,2025-07-08,27,64035.65,96
CUST0209,32,Noida,2025-02-25,1,62144.91,144
CUST0210,32,Mumbai,2025-06-17,21,82473.61,180
CUST0211,44,Mumbai,2025-06-04,5,5012.01,10
CUST0212,49,Mumbai,2025-06-05,4,23862.6,138
CUST0213,42,Noida,2025-03-11,12,67213.38,179
CUST0214,52,Kolkata,2026-04-30,19,74355.77,40
CUST0215,44,Mumbai,2026-03-30,27,49190.03,105
CUST0216,35,Delhi,2026-04-26,23,37367.73,114
CUST0217,33,Chennai,2025-08-16,4,98102.31,95
CUST0218,40,Delhi,2025-10-06,13,27950.2,32
CUST0219,47,Mumbai,2026-05-01,22,21604.53,164
CUST0220,19,Delhi,2025-11-02,26,33684.16,33
CUST0221,54,Hyderabad,2026-02-07,3,83066.87,142
CUST0222,55,Hyderabad,2025-04-17,27,87034.69,85
CUST0223,27,Delhi,2026-02-01,9,85911.41,38
CUST0224,52,Pune,2025-03-08,26,17862.46,170
CUST0225,19,Bangalore,2026-03-20,1,36145.11,61
CUST0226,38,Delhi,2025-10-29,6,26904.07,33
CUST0227,44,Mumbai,2026-01-15,24,6824.02,115
CUST0228,41,Mumbai,2026-02-03,15,50631.95,158
CUST0229,51,Pune,2025-01-23,15,64512.4,8
CUST0230,48,Kolkata,2025-02-01,14,68766.7,126
CUST0231,46,Mumbai,2025-12-31,29,8538.65,156
CUST0232,22,Bangalore,2025-03-17,9,62619.59,150
CUST0233,38,Kolkata,2025-10-08,20,53290.41,117
CUST0234,45,Mumbai,2025-09-16,26,70327.05,168
CUST0235,53,Hyderabad,2025-11-30,14,45429.71,59
CUST0236,39,Noida,2025-07-31,13,41890.97,25
CUST0237,45,Chennai,2025-06-10,22,25861.53,40
CUST0238,48,Mumbai,2025-12-18,3,83261.3,24
CUST0239,24,Chennai,2025-08-10,26,13446.49,16
CUST0240,53,Chennai,2025-10-28,22,12662.01,91
CUST0241,45,Delhi,2026-03-24,10,60240.8,91
CUST0242,54,Hyderabad,2025-02-23,5,65845.26,58
CUST0243,24,Chennai,2026-03-10,28,55848.41,30
CUST0244,35,Hyderabad,2026-01-26,26,43196.68,144
CUST0245,53,Delhi,2026-05-14,20,92943.89,178
CUST0246,19,Bangalore,2025-05-17,9,70418.53,80
CUST0247,39,Chennai,2026-04-17,1,18549.85,37
CUST0248,43,Mumbai,2025-10-17,5,74226.42,8
CUST0249,51,Hyderabad,2025-02-16,13,42273.33,88
CUST0250,41,Pune,2025-03-22,24,32776.1,146
CUST0251,23,Delhi,2025-11-02,5,16162.28,159
CUST0252,23,Pune,2025-01-26,15,66362.9,125
CUST0253,46,Kolkata,2025-11-07,9,21949.11,132
CUST0254,40,Kolkata,2025-02-28,4,28683.02,174
CUST0255,49,Pune,2025-10-31,2,22441.58,154
CUST0256,18,Hyderabad,2025-01-29,10,94559.75,36
CUST0257,34,Pune,2026-01-27,11,12438.44,128
CUST0258,45,Bangalore,2026-01-18,5,38330.64,59
CUST0259,53,Chennai,2025-09-14,3,40008.58,11
CUST0260,19,Noida,2025-08-12,30,8247.33,81
CUST0261,45,Kolkata,2025-10-22,23,64194.1,75
CUST0262,43,Delhi,2025-02-28,11,17601.38,159
CUST0263,41,Mumbai,2025-08-24,14,84526.19,63
CUST0264,55,Kolkata,2025-08-12,17,8325.39,80
CUST0265,39,Hyderabad,2026-01-17,11,78022.23,20
CUST0266,25,Hyderabad,2025-09-19,29,77734.71,90
CUST0267,27,Hyderabad,2026-01-08,4,15071.2,51
CUST0268,27,Mumbai,2025-03-30,6,95153.57,161
CUST0269,47,Noida,2025-09-10,22,92453.35,145
CUST0270,38,Chennai,2025-11-26,5,44256.4,121
CUST0271,37,Pune,2025-08-15,19,6089.13,130
CUST0272,37,Noida,2025-02-07,15,4241.92,95
CUST0273,36,Mumbai,2026-03-02,21,86492.88,24
CUST0274,50,Kolkata,2025-11-11,15,58242.78,11
CUST0275,54,Hyderabad,2025-08-19,11,60698.08,129
CUST0276,21,Noida,2025-03-19,4,81191.2,88
CUST0277,23,Bangalore,2026-01-01,2,25150.5,113
CUST0278,51,Bangalore,2025-08-13,12,37598.77,73
CUST0279,44,Chennai,2025-07-18,22,59989.64,162
CUST0280,39,Mumbai,2025-11-28,11,9903.34,174
CUST0281,36,Pune,2025-07-17,24,85230.84,155
CUST0282,27,Chennai,2026-03-24,3,58482.58,37
CUST0283,40,Pune,2026-04-15,21,69998.76,101
CUST0284,23,Pune,2025-03-08,18,37979.59,85
CUST0285,26,Mumbai,2026-02-21,21,67210.38,131
CUST0286,19,Chennai,2025-07-05,10,18436.16,55
CUST0287,49,Hyderabad,2025-06-24,8,99997.67,40
CUST0288,36,Mumbai,2025-02-09,17,77202.03,135
CUST0289,39,Bangalore,2025-01-20,20,37983.63,42
CUST0290,28,Noida,2025-04-03,2,41380.43,174
CUST0291,33,Noida,2026-01-04,20,28850.33,115
CUST0292,52,Hyderabad,2025-04-30,10,96576.87,121
CUST0293,30,Chennai,2026-04-08,22,94739.45,113
CUST0294,36,Kolkata,2025-08-25,17,52982.25,42
CUST0295,30,Bangalore,2026-02-23,28,25375.32,165
CUST0296,41,Mumbai,2025-09-04,23,84666.28,32
CUST0297,23,Bangalore,2025-05-26,9,45207.26,132
CUST0298,45,Mumbai,2025-03-17,30,22592.78,116
CUST0299,40,Delhi,2026-03-29,14,5799.06,129
CUST0300,33,Kolkata,2025-07-11,3,37803.81,8
CUST0301,24,Chennai,2025-06-13,26,15031.91,10
CUST0302,48,Bangalore,2025-05-27,25,70700.85,115
CUST0303,18,Mumbai,2025-11-12,1,25964.43,39
CUST0304,51,Kolkata,2025-10-08,4,77729.18,61
CUST0305,25,Delhi,2025-06-04,8,42272.64,160
CUST0306,22,Mumbai,2025-08-23,27,90562.12,153
CUST0307,19,Hyderabad,2025-10-02,23,14785.9,110
CUST0308,40,Hyderabad,2025-01-01,19,41948.48,171
CUST0309,23,Chennai,2025-12-09,3,95363.67,140
CUST0310,50,Delhi,2025-09-17,13,87396.48,12
CUST0311,42,Chennai,2025-11-22,9,74858.0,92
CUST0312,22,Chennai,2026-02-08,8,73427.63,161
CUST0313,55,Chennai,2025-02-23,5,4911.4,140
CUST0314,29,Noida,2025-06-23,23,48113.85,47
CUST0315,26,Mumbai,2026-02-20,23,77730.94,118
CUST0316,36,Hyderabad,2025-01-19,2,79215.37,11
CUST0317,37,Kolkata,2025-06-11,27,54531.55,65
CUST0318,30,Pune,2025-01-19,12,86282.78,13
CUST0319,39,Pune,2026-03-20,4,80034.57,112
CUST0320,43,Noida,2026-04-01,29,95669.63,87
CUST0321,29,Noida,2026-05-14,23,50003.58,133
CUST0322,23,Kolkata,2025-05-17,3,43345.41,47
CUST0323,36,Chennai,2025-10-07,4,8466.86,170
CUST0324,37,Noida,2025-06-01,20,71907.46,43
CUST0325,46,Chennai,2025-12-20,15,4714.34,91
CUST0326,45,Pune,2025-11-11,21,98012.71,15
CUST0327,43,Chennai,2025-02-08,17,80209.05,174
CUST0328,19,Bangalore,2025-03-23,28,60953.5,113
CUST0329,26,Mumbai,2025-01-18,8,77962.28,94
CUST0330,42,Delhi,2025-07-05,20,15767.1,116
CUST0331,41,Chennai,2026-05-01,15,76426.9,147
CUST0332,51,Chennai,2025-03-12,13,31781.35,72
CUST0333,25,Delhi,2025-05-08,24,19011.78,133
CUST0334,53,Mumbai,2025-07-18,9,77608.97,115
CUST0335,36,Noida,2025-04-20,7,12702.42,19
CUST0336,29,Noida,2025-08-20,3,81146.07,82
CUST0337,40,Mumbai,2025-12-08,18,54446.05,77
CUST0338,28,Bangalore,2026-03-12,26,36468.47,58
CUST0339,30,Bangalore,2025-03-04,8,79142.12,7
CUST0340,53,Chennai,2025-07-04,15,80464.34,142
CUST0341,23,Mumbai,2025-03-08,10,40116.92,123
CUST0342,44,Kolkata,2025-09-27,27,57702.6,33
CUST0343,38,Mumbai,2026-05-13,15,46850.4,133
CUST0344,26,Bangalore,2025-06-26,25,96643.33,111
CUST0345,21,Mumbai,2025-09-15,17,15725.04,43
CUST0346,38,Hyderabad,2025-03-24,12,94774.57,133
CUST0347,36,Mumbai,2026-04-04,9,20032.04,142
CUST0348,26,Pune,2025-05-21,20,53581.06,129
CUST0349,28,Bangalore,2025-11-25,6,66043.92,155
CUST0350,54,Delhi,2025-06-22,27,86446.23,21
CUST0351,54,Pune,2025-01-24,21,21475.43,147
CUST0352,19,Noida,2025-08-02,29,62902.82,75
CUST0353,37,Noida,2025-11-25,8,80566.47,176
CUST0354,37,Noida,2025-07-27,3,69017.05,41
CUST0355,44,Noida,2025-08-14,15,20800.29,156
CUST0356,38,Chennai,2025-03-15,24,98808.33,89
CUST0357,43,Bangalore,2026-05-15,25,37368.75,144
CUST0358,38,Hyderabad,2025-02-24,15,12690.93,116
CUST0359,27,Mumbai,2025-05-07,2,29376.09,99
CUST0360,44,Hyderabad,2026-03-19,28,90279.93,84
CUST0361,54,Chennai,2026-04-24,7,76430.58,128
CUST0362,47,Noida,2025-09-21,29,31199.78,6
CUST0363,43,Noida,2025-02-16,8,21906.87,91
CUST0364,21,Pune,2025-01-25,16,59953.12,168
CUST0365,48,Pune,2025-12-11,18,1313.65,28
CUST0366,26,Pune,2025-08-09,24,36894.88,104
CUST0367,20,Kolkata,2025-07-07,2,57243.02,50
CUST0368,53,Pune,2025-07-05,3,38941.71,116
CUST0369,53,Pune,2026-01-27,27,98914.52,175
CUST0370,25,Bangalore,2025-11-09,4,39693.42,87
CUST0371,41,Bangalore,2025-10-13,7,60445.06,103
CUST0372,20,Delhi,2025-09-14,2,14135.12,86
CUST0373,48,Noida,2026-02-16,5,60822.92,132
CUST0374,38,Chennai,2025-03-13,6,39598.98,158
CUST0375,37,Chennai,2026-01-14,17,82914.79,137
CUST0376,54,Pune,2025-09-08,16,81667.01,95
CUST0377,25,Kolkata,2025-06-19,19,31113.94,177
CUST0378,19,Noida,2025-11-19,9,96723.53,149
CUST0379,32,Delhi,2025-10-23,19,48304.65,135
CUST0380,42,Bangalore,2025-11-19,27,68232.33,9
CUST0381,25,Hyderabad,2025-10-21,1,44383.34,108
CUST0382,44,Hyderabad,2025-03-19,14,50431.04,157
CUST0383,48,Delhi,2026-04-17,23,14239.21,54
CUST0384,38,Noida,2025-10-15,17,37994.07,45
CUST0385,52,Chennai,2025-08-24,18,35751.56,175
CUST0386,34,Noida,2025-11-26,7,95755.07,72
CUST0387,37,Hyderabad,2025-10-13,10,77231.84,54
CUST0388,49,Chennai,2025-12-20,16,35205.92,71
CUST0389,25,Kolkata,2025-05-28,29,98025.97,89
CUST0390,27,Pune,2026-05-04,2,29119.22,21
CUST0391,46,Pune,2025-06-27,24,48168.39,52
CUST0392,52,Pune,2026-02-28,30,56420.79,70
CUST0393,24,Hyderabad,2025-03-12,8,5551.16,136
CUST0394,32,Delhi,2025-04-26,4,41623.49,121
CUST0395,26,Delhi,2025-02-21,18,97802.12,41
CUST0396,48,Noida,2025-07-28,21,20345.87,74
CUST0397,36,Delhi,2025-06-14,30,76988.14,167
CUST0398,32,Delhi,2025-10-21,30,92186.35,107
CUST0399,29,Delhi,2026-03-28,27,40000.96,127
CUST0400,36,Delhi,2025-04-06,1,30190.02,155
CUST0401,39,Pune,2025-02-24,15,98915.4,140
CUST0402,49,Bangalore,2025-09-26,28,50669.16,70
CUST0403,25,Chennai,2025-04-09,6,73246.36,166
CUST0404,29,Delhi,2025-05-12,24,34042.66,76
CUST0405,30,Bangalore,2025-10-18,20,85686.58,104
CUST0406,45,Chennai,2026-02-28,3,40382.91,25
CUST0407,26,Noida,2025-04-05,11,93614.63,2
CUST0408,42,Hyderabad,2025-05-14,15,75498.79,85
CUST0409,55,Delhi,2025-06-04,9,65541.5,178
CUST0410,21,Mumbai,2025-05-01,15,31027.23,104
CUST0411,50,Pune,2025-12-18,23,12182.87,76
CUST0412,32,Hyderabad,2025-07-08,5,48079.1,117
CUST0413,41,Kolkata,2026-01-18,23,55148.83,121
CUST0414,52,Hyderabad,2026-01-23,25,25122.81,153
CUST0415,23,Noida,2026-03-24,17,70524.73,20
CUST0416,54,Mumbai,2026-04-15,2,82963.02,130
CUST0417,54,Bangalore,2025-04-14,6,33147.7,134
CUST0418,25,Hyderabad,2025-08-15,23,58523.19,24
CUST0419,50,Noida,2026-04-06,26,6035.76,34
CUST0420,44,Noida,2025-09-20,19,6244.81,119
CUST0421,37,Delhi,2025-12-11,13,25818.49,1
CUST0422,31,Mumbai,2026-01-17,2,42657.89,180
CUST0423,52,Delhi,2025-02-02,30,89474.74,121
CUST0424,36,Kolkata,2025-01-17,6,77012.72,165
CUST0425,44,Chennai,2026-05-16,29,38556.72,97
CUST0426,23,Bangalore,2025-07-12,21,86098.51,31
CUST0427,52,Kolkata,2025-04-02,17,13171.04,58
CUST0428,18,Delhi,2026-03-04,10,46568.89,140
CUST0429,52,Kolkata,2025-08-06,27,23351.57,118
CUST0430,27,Pune,2025-06-27,7,93772.33,29
CUST0431,44,Delhi,2025-01-17,8,21005.12,26
CUST0432,20,Noida,2025-11-01,20,67366.35,13
CUST0433,20,Kolkata,2025-05-06,15,23816.76,56
CUST0434,21,Bangalore,2026-01-22,17,99351.6,60
CUST0435,54,Chennai,2026-02-22,19,59992.81,173
CUST0436,38,Hyderabad,2026-02-24,10,87687.7,170
CUST0437,32,Kolkata,2025-09-24,10,27877.82,143
CUST0438,55,Bangalore,2026-05-01,21,68035.64,143
CUST0439,21,Chennai,2025-09-11,21,67298.58,135
CUST0440,44,Kolkata,2025-06-13,5,30338.91,48
CUST0441,52,Noida,2026-01-22,8,85009.42,77
CUST0442,27,Noida,2026-03-16,30,6233.58,106
CUST0443,44,Bangalore,2026-05-11,13,24664.42,53
CUST0444,23,Noida,2025-06-19,28,37422.21,138
CUST0445,30,Delhi,2026-01-06,9,38028.21,155
CUST0446,20,Mumbai,2025-11-05,7,80562.74,151
CUST0447,53,Hyderabad,2026-01-06,16,21284.46,86
CUST0448,18,Hyderabad,2025-06-05,30,19407.36,31
CUST0449,48,Hyderabad,2026-01-18,23,60637.95,53
CUST0450,33,Chennai,2025-07-23,25,28664.39,120
CUST0451,40,Pune,2025-10-01,9,36284.64,128
CUST0452,24,Noida,2025-08-27,25,84053.25,53
CUST0453,38,Kolkata,2025-07-09,2,56471.21,57
CUST0454,27,Delhi,2026-01-15,9,55554.5,150
CUST0455,44,Pune,2025-10-24,5,20021.08,59
CUST0456,54,Hyderabad,2025-07-14,16,55288.93,176
CUST0457,34,Noida,2025-06-22,24,64348.6,126
CUST0458,28,Chennai,2025-08-24,6,14425.87,140
CUST0459,29,Delhi,2025-09-08,17,3865.46,20
CUST0460,21,Delhi,2026-04-29,14,14180.41,162
CUST0461,22,Bangalore,2025-04-29,1,22262.61,117
CUST0462,21,Noida,2025-07-11,22,49041.51,2
CUST0463,53,Kolkata,2025-09-30,1,2164.25,71
CUST0464,36,Delhi,2025-10-02,17,81409.14,173
CUST0465,29,Mumbai,2025-08-09,30,10083.23,39
CUST0466,30,Pune,2025-05-04,27,35766.89,102
CUST0467,41,Kolkata,2025-02-10,15,56717.72,179
CUST0468,37,Mumbai,2025-04-26,21,99171.63,167
CUST0469,20,Mumbai,2026-01-24,13,38236.77,142
CUST0470,21,Delhi,2025-09-01,23,17552.67,128
CUST0471,45,Chennai,2026-03-09,19,97744.26,25
CUST0472,51,Delhi,2026-04-04,8,21536.0,178
CUST0473,54,Noida,2026-03-31,9,5132.92,20
CUST0474,35,Delhi,2025-12-17,6,92912.25,81
